EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,SKI,PARAPENTE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,O2USED,COMRTE,STDRTE,PRIMRTE,CAMP_HEIGHTS,CAMP_SITES_LIST,NUM_CAMPS,TERMREASON_STRING,YEAR_SEASON_DATE,PKNAME,PKNAME2,LOCATION,HEIGHTM,REGION,OPEN,PSTATUS,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M
EVER19130,EVER,2019,1,1,S Col-SE Ridge,,,,China,1,0,0,0,29,31,2019-05-18,1,0,0,5,3,0,6,3,0,1,1,True,False,[],"[('BC(17/04),', ''), ('C1(25/04),', ''), ('C2(29/04),', ''), ('C3(01/05),', ''), ('C4(15/05),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19131,EVER,2019,1,1,S Col-SE Ridge,,,,Germany,0,0,0,0,26,31,2019-05-21,4,0,0,1,0,0,1,0,0,1,1,True,False,"['5350', '7950', '8300']","[('BC(20/04,5350m),', ''), ('C1(25/04),', ''), ('C2(30/04),', ''), ('C3(15/05),', ''), ('C4(16/05,7950m),', '')]",5,"Bad weather (storms, high winds)",2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19132,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,1,0,0,0,37,40,2019-05-23,1,0,0,10,9,0,10,7,0,1,1,True,False,"['5300', '5900', '6400', '7200', '7900']","[('BC(13/04,5300m),', ''), ('C1(25/04,5900m),', ''), ('C2(26/04,6400m),', ''), ('C3(18/05,7200m),', ''), ('C4(19/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19133,EVER,2019,1,1,S Col-SE Ridge,,,,India,1,0,0,0,18,0,,1,0,0,7,3,1,11,6,0,1,1,True,False,"['5380', '7200', '7950']","[('BC(04/05,5380m),', ''), ('C1(6100m),', ''), ('C2(6400m),', ''), ('C3(20/05,7200m),', ''), ('C4(21/05,7950m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19134,EVER,2019,1,1,S Col-SE Ridge,,,,USA,1,0,0,0,33,37,2019-05-27,1,0,0,3,2,0,4,1,0,1,1,True,False,"['5300', '6100', '6500', '7200']","[('BC(20/04,5300m),', ''), ('C1(01/05,6100m),', ''), ('C2(08/05,6500m),', ''), ('C3(21/95,7200m),', ''), ('C4(22/05,790m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19135,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,1,0,0,0,37,40,2019-05-25,1,0,0,2,2,0,3,3,0,1,1,True,False,"['5350', '6000', '6500', '7300', '7900']","[('BC(15/04,5350m),', ''), ('C1(23/04,6000m),', ''), ('C2(24/04,6500m),', ''), ('C3(20/05,7300m),', ''), ('C4(21/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19136,EVER,2019,1,1,S Col-SE Ridge,,,,Canada,1,0,0,0,35,39,2019-05-19,1,0,0,1,1,0,1,1,0,1,1,True,False,"['5350', '6000', '6440', '7100', '7900']","[('BC(10/04,5350m),', ''), ('C1(28/04,6000m),', ''), ('C2(29/04,6440m),', ''), ('C3(13/05,7100m),', ''), ('C4(14/04,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19137,EVER,2019,1,1,S Col-SE Ridge,,,,Belgium,1,0,0,0,47,49,2019-05-25,1,0,0,4,3,0,4,4,0,1,1,True,False,"['5330', '6050', '6500', '7100', '7900']","[('BC(06/04,5330m),', ''), ('C1(18/04,6050m),', ''), ('C2(27/04,6500m),', ''), ('C3(21/05,7100m),', ''), ('C4(22/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19138,EVER,2019,1,1,S Col-SE Ridge,,,,India,1,0,0,0,32,42,2019-05-26,1,0,0,5,4,1,6,5,0,1,1,True,False,[],"[('BC(14/04),', ''), ('C1(19/04),', ''), ('C2(26/04),', ''), ('C3(20/05),', ''), ('C4(21/05),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19139,EVER,2019,1,1,S Col-SE Ridge,,,,USA,0,0,0,0,36,42,2019-05-28,7,0,0,3,0,0,1,0,1,1,1,True,False,"['5350', '5900', '6440', '7800']","[('BC(16/04,5350m),', ''), ('C1(29/04,5900m),', ''), ('C2(30/04,6440m),', '')]",3,"Illness, AMS, exhaustion, or frostbite",2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
