PEAKID,PKNAME,YEAR,HOST,LAT,LON,HEIGHTM,COMRTE,ROUTE_SUCCESS,ROUTE_HIGHPOINT,ROUTE
ANN4,Annapurna IV,1984,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1984,1,28.53666666666667,84.085,7525,False,0,(to 6800m),N Face
ANN4,Annapurna IV,1985,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1986,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1986,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1987,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1987,1,28.53666666666667,84.085,7525,Not Known,0,,N Ridge-W Ridge
ANN4,Annapurna IV,1987,1,28.53666666666667,84.085,7525,Not Known,1,,N Face rib
ANN4,Annapurna IV,1989,1,28.53666666666667,84.085,7525,Not Known,1,,E Ridge from N
ANN4,Annapurna IV,1990,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1990,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1990,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1991,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1991,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1991,1,28.53666666666667,84.085,7525,Not Known,0,,N Face-NW Ridge
ANN4,Annapurna IV,1991,1,28.53666666666667,84.085,7525,Not Known,0,,NE Ridge
ANN4,Annapurna IV,1992,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1992,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1992,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1992,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1992,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1993,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1994,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1994,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1995,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1995,1,28.53666666666667,84.085,7525,False,0,,NW Ridge
ANN4,Annapurna IV,1996,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1996,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
ANN4,Annapurna IV,1996,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1996,1,28.53666666666667,84.085,7525,Not Known,0,,N Face of NW Ridge
ANN4,Annapurna IV,1996,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1996,1,28.53666666666667,84.085,7525,Not Known,0,,NW Ridge
ANN4,Annapurna IV,1982,1,28.53666666666667,84.085,7525,Not Known,1,,NW Ridge
